row_id,내용,상세내용,주장/검증매체
0,택시 호출 플랫폼 팁 도입 논란10명중 7명은 반대,"['도입', '오픈', '가운데', '기능', '조사', '영향', '인식', '택시', '블루', '소비자', '요금', '수준', '승객', '감사', '연합뉴스', '플랫폼', '카카오', '시범', '이용', '응답', '부정', '모빌리티', '긍정']",연합뉴스
1,중부4군 택시운임요금 적용기준 동일 확정공유도시 재확인,"['의회', '체계', '추진', '지역', '도시', '기준', '택시', '적용', '시설', '군수', '요금', '공동', '운임', '공유', '운영', '사업', '동일', '음성', '충북']",뉴시스
2,서울시 장애인 버스요금 지원사업 장애특성별 고려 필요,"['도입', '사업', '시내버스', '요금', '장애', '버스', '이용', '지원', '장애인', '이동', '서울시', '경우', '정책']",오마이뉴스
3,기사님께 마음 전해요 당연해질까카카오T 택시 팁 논란 팩플,"['도입', '기사', '서비스', '회사', '결제', '포함', '택시', '추가', '이용자', '소비자', '요금', '부담', '식당', '감사', '기기', '경우', '카카오', '사진', '모빌리티', '배달', '유도', '화면', '최근', '선택']",중앙일보
4,그늘막도 없이 설치된 잼버리 텐트전문가들 부적절,"['세계', '지적', '납품', '스카우트', '업체', '새만금', '잼버리', '사용', '기자', '예산', '제기', '부안', '에프', '텐트', '연합뉴스', '판매', '직위', '제공', '가격', '대원']",연합뉴스
5,잼버리 바가지 논란 GS25 가격 인하무료 생수 공급,"['설치', '잼버리', '매장', '지원', '현장', '상품', '텐트', '판매', '가격', '냉동', '시중']",노컷뉴스
6,보릿고개 지속되는 자본시장펀딩의 난,"['지속', '문제', '공제', '확보', '펀드', '규모', '평가', '대체', '하반기', '고민', '올해', '운용', '자금', '새마을금고', '상태', '결성', '중앙회', '출자', '앵커', '사업', '투자', '한미', '상황', '지연', '기관', '정기']",이데일리
7,금품수수 혐의 새마을금고회장 구속영장 재청구,"['기각', '새마을금고', '검찰', '혐의', '회장', '영장', '구속영장', '청구']",KBS
8,소떼 뛰노는 초원땅밑 2km엔 이산화탄소 10만t 저장시설이,"['저장', '운영', '고갈', '센터', '가스전', '배출', '현장', '중이', '염수', '연구원', '기술', '호주', '실증']",중앙일보
9,지구를 구해줘 탄소포집 기술 어디까지 왔나,"['세계', '제로', '상승', '석유', '영구', '지구', '산업', '활용', '저장', '사용', '포집', '에너지', '기술', '농도', '대기', '발생', '배출', '확률', '탄소', '이산화탄소']",파이낸셜뉴스
10, 동결 이란 자금 60억 인출에 외환시장 불안산업계 기대,"['해결', '문제', '한국', '업계', '과정', '규모', '송금', '교역', '자동차', '영향', '정상화', '원유', '시장', '동결', '로이터', '가능성', '자금', '원화', '국가', '정유', '정부', '우리나라', '재개', '해제', '합의', '수입', '최근', '환율', '관계자']",조선비즈
11,한국은행 감독권 넓히고 임금결정권 확보 법 개정 요구에도 변화는 미지수,"['총재', '개선', '지적', '관련', '개정안', '한국은행', '금융', '대표', '발의', '결정', '촉구', '기획', '개정', '통과', '서울', '이창용', '의견', '재정', '국회', '정책', '직원', '금통위', '유동성', '공급', '논의', '제도', '은행', '통화정책', '통화', '지난달', '의원', '법안', '인건비', '노조', '감독']",파이낸셜뉴스
12,이창용 한은 총재 기준금리 375퍼센트 인상 열어둬야가계부채 금리로 대응할수도,"['총재', '중장', '고령화', '설명', '조정', '문제', '예상', '저출산', '개혁', '방향', '한국은행', '물가', '목표', '구조', '금융', '기자간담회', '환율', '우려', '금리', '이창용', '명목', '변화', '둔화', '변동', '회의', '가능성', '기준금리', '금통위', '수준', '대비', '순위', '인상', '통화정책', '대출', '사태', '가계부채', '기적', '우리나라', '상황', '가계', '강조', '비율', '증가', '대응', '지난해', '생각']",농민신문
13,세컷칼럼유능한 보수정권의 실업급여 해법,"['근로자', '문제', '여가', '고용', '기준', '임금', '수급', '최저임금', '급여', '기금', '실업', '정부', '여당', '일자리', '정규직', '전체']",중앙일보
14,가족 같은 회사라더니 급여 낮은 직원 구했으니 넌 해고 그래도 출근,"['개선', '사장', '해당', '회사', '관련', '차별', '부당', '가족', '대표', '요구', '미만', '이유', '노동자', '일부', '제한', '근로', '직장', '적용', '직원', '구제', '해고', '규정', '휴일', '확대', '정부', '제도', '사업', '근로자', '노동계', '현실', '여당']",한국일보
15,샤넬 선글라스 시럽급여 대신 윤석열 정부가 이야기해야 할 것들,"['사람', '서비스', '지적', '문제', '한국', '동안', '회사', '집중', '인력', '지대', '급여', '윤석열', '조건', '노동자', '실업자', '소득', '의지', '여가', '지급', '서울', '고용', '지원', '시스템', '기간', '고도화', '최저임금', '재정', '업자', '이상', '실업', '국민', '기술', '자격증', '문재인', '사회', '적극', '정책', '지출', '로드맵', '해외여행', '코로나', '노동', '발언', '신청', '의장', '보험', '수급', '발표', '확대', '언급', '안전', '연합뉴스', '정부', '논의', '제도', '발전', '계약', '반발', '제공', '장관', '센터', '계획', '부정', '박대출', '기반', '자영', '일자리']",시사IN
16,천금성은 한국 해양소설의 무대를 세계로 확장했다,"['인간', '세계', '처럼', '제공', '문제', '한국', '작가', '바다', '연구', '박사', '논문', '해양', '최초', '부산']",부산일보
17,배터리 원료 해외 직접 생산 첫발 뗀 포스코퓨처엠필리핀 택한 까닭,"['포스코', '사업', '기록', '글로벌', '니켈', '수출', '필리핀', '원료', '합작', '배터리', '확대', '기술', '생산', '시장', '활용', '증가', '핵심']",아이뉴스24
