row_id,주제,내용,상세내용,주장/검증 매체,label
0,경제,"직원 1.6만명인데 임원 1.4만명, 새마을금고 조직구조 희한하다"," <한국경제신문>은 7월 5일 새마을금고 부실 사태와 관련해 ""방만경영과 관리부실이 속속 드러나고 있다""면서 사태를 키운 원인 중 하나로 ""임원이 전체 직원의 절반에 육박하는 왜곡된 조직 구조""를 꼽았다. 그러면서 ""KB금융의 임원 비율은 0.14%로 47%인 새마을금고와 비교가 불가능할 정도""라고 보도해 새마을금고와 KB금융을 견줘 비판했다. 그러나 신용조합인 새마을금고의 조직 구조와 지주회사인 KB금융을 등가 비교하는 것이 적절할까? 확인해봤다.새마을금고의 지역금고, 중앙회 모두 각각의 독립법인이다.한국경제의 '직원 1.6만명인데 임원 1.4만명' '임원 비율 47%' 같은 보도 내용은 1294개의 개별 새마을금고를 모두 종합해 계산한 것이다.김영신 시장경제학회 회장은 ""새마을금고는 금고마다 의사결정을 개별적으로 수행해야 한다. 일반 금융권과 단순 비교하는 것은 무리가 있다""라고 지적했다.임원 비율만으로 '왜곡된 조직구조'라고 단정할 수는 없다. 따라서 새마을금고가 임원이 1.4만명에 이르러 조직구조가 희한하다는 주장은 '전혀 사실 아님'으로 판정한다.새마을금고 임원은 전직원의 절반에 육박해 조직구조가 왜곡됐다'새마을금고 사태'가 화두다. <한국경제신문>(한경)은 지난 5일 새마을금고 부실 사태와 관련해 ""방만경영과 관리부실이 속속 드러나고 있다""면서 사태를 키운 원인 중 하나로 ""임원이 전체 직원의 절반에 육박하는 왜곡된 조직 구조""를 꼽았다. 이 기사의 제목은 ""직원 1.6만명인데 임원 1.4만명... 희한한 새마을금고 조직구조""였다.이 기사는 포털 다음의 '머니' 섹션에서 인기 기사 1위를 기록했다. <한경>은 이 기사에서 ""1294개 금고가 개별적 의사결정을 하고, 이사회도 금고 별로 필요해 임원이 많을 수밖에 없다는 게 금고 측 설명""이라면서도 ""KB금융의 임원 비율은 0.14%로 47%인 새마을금고와 비교가 불가능할 정도""라고 보도했다.그런데 신용조합인 새마을금고의 조직 구조와 지주회사인 KB금융을 등가 비교하는 것이 적절할까? <농협대신문> 취재 결과, 전문가들은 ""다른 업종을 임원 비율로 서로 비교하는 것은 단순하고, 부적절한 접근""이라고 입을 모았다. <농협대신문>은 새마을금고의 조직 구조가 '왜곡'됐는지 따져봤다.▲ <한국경제신문>의 '직원 1.6만명인데 임원 1.4만명…희한한 새마을금고 조직구조' 기사. 이 기사는 지난 5일 인터넷 지면에 먼저 실렸고 다음날인 7월 6일 지면신문 A25면에 실렸다. ⓒ <한국경제> 갈무리새마을금고, 타 금융기관과 달리 각 독립법인으로 구성 ▲ 서울 시내 한 새마을금고 지점의 모습. ⓒ 연합뉴스새마을금고는 '지역금고'와 '새마을금고중앙회(아래 중앙회)'로 나뉜다. 지역금고는 특정 행정구역, 경제권 그리고 생활권을 업무 구역으로 한다. '남양주동부 새마을금고'처럼, 앞에 지역명이 붙으면 지역금고다.여러 지역금고가 공동으로 돈을 모아 설립한 것이 '중앙회'다. 중앙회는 개별 금고가 수행하기에 한계가 있거나 적절하지 않은 업무를 맡는다. 가령 국제협력 사업, 조사?연구, 지역금고에 대한 규제 및 지원 등을 수행한다.지역금고, 중앙회 모두 독립법인이다. 예를 들어 '남양주동부 새마을금고'와 '서울강동 새마을금고'는 새마을금고라는 명칭만 같을 뿐, 별도의 사업체다. 회계 처리, 임원, 직원 구성도 다르다. 중앙회도 지역금고와는 독립된 법인이다. 이 점에 대해 새마을금고 측은 ""같은 울타리 안에서 다른 이름을 가지고 있는 것""이라고 설명한다. ",언론보도,전혀 사실 아님
1,경제,탄소포집 기술은 재생에너지보다 경제성이 뛰어난 탄소중립 대안이다,"2050탄소중립녹색성장위원회는 지난 4월 '2030탄소중립녹색성장기본계획'을 발표하며 2030년 국가온실가스 감축목표(NDC) 중 1,120만 톤을 탄소포집저장활용(CCUS) 기술로 제거하겠다고 밝혔다. 환경단체에서는 CCUS가 검증되지 않은 미래 기술이어서 현실성이 떨어진다고 반발한 반면, 일부 산업계와 학계에서는 ""CCUS는 비용 효율적이며 한국 상황에서 현실적인 대안(조원동 규제개혁위원회 위원, 지난 6월 27일 이데일리 탄소중립 포럼 발언)""이라고 주장했다.CCUS가 비용 효율적인 대안인지 팩트체크한다.'탄소포집 기술은 재생에너지보다 경제성이 뛰어난 탄소중립 대안'이라는 조원동 규제개혁위원회 위원의 주장세계 최초이자 유일한 석탄 발전 CCS 설비를 운영하고 있는 캐나다 바운더리댐바운더리댐 발전사 측은 한국일보에 CCS 설비 추가 설치 계획 없다고 밝힘탄소저감 효과가 낮고 재생에너지보다 비용도 컸기 때문국제에너지기구(IEA)에 따르면 바운더리댐의 탄소포집 단가는 톤당 약 14만 원반면 2025년 기준 태양광 발전 단가는 12만 원, 해상풍력은 11만 원으로 예측따라서 해당 주장은 ‘전혀 사실 아님’으로 판정'탄소포집 기술은 재생에너지보다 경제성이 뛰어난 탄소중립 대안'이라는 조원동 규제개혁위원회 위원 주장지난 4월 2050국가탄소중립녹색성장위원회는 2030년 국가 온실가스 감축 목표(NDC) 달성을 위한 연도별 계획을 배포했다. 이 계획엔 2030년부터 탄소포집저장활용(CCUS)로 연 1,120만 톤을 감축하겠다는 내용이 담겼다. 이를 두고 조원동 규제개혁위원회 위원은 “CCUS는 재생에너지, 원전에 비해 상대적으로 비용이 적게 든다(6월 이데일리 포럼, 이코노미스트 보도)""고 말했고, 정광하 산업연합포럼 부설 미래산업연구소장은 “가장 비용 효과적인 탄소감축 수단은 해외감축과 CCUS(4월 한국산업연합포럼, 이데일리 보도)”라고 말했다.이에 한국일보는 CCUS가 정말 비용 효율적인 대안인지 따져봤다.지난 6월 2일 캐나다 서스캐처완(Sasketchawan) 주의 석탄화력발전소 '바운더리댐'을 방문했다. 6개 발전기로 구성된 석탄화력발전소인데, 그 중 3번 발전기에 2014년부터 100MW 규모의 탄소포집(CCS) 설비를 운영하고 있다. 현재 연 수백만톤의 탄소를 포집할 수 있는, 세계 최초이자 유일한 석탄 발전 CCS 설비다. 한국 기업이나 정부도 CCUS 추진 계획에서 이 시설을 해외 우수 사례로 소개하고는 한다.▲ CCUS 심층 투자 분석 보고서. 한국에너지기술연구원그러나 정작 바운더리댐 발전사 측은 한국일보에 ""석탄 발전에 CCS 추가 설치가 없다""고 밝혔다. 3번 발전기에만 CCS를 설치하고, 4, 5, 6호기는 추가 설치 없이 퇴역시키겠다는 뜻이다.그 첫 번째 배경은 CCS의 탄소저감 효과가 시원찮았다는 데 있다. 바운더리댐의 경우 CCS를 설치하더라도 전기 1GWh 당 탄소 300~400톤이 배출됐는데, 이는 마찬가지로 화석연료 발전인 액화천연가스(LNG) 발전 배출량과 크게 다르지 않다. 2035년부터 탄소중립 발전원으로만 전기를 생산하겠다는 캐나다 정부 방침(CBC 보도)도 충족하지 못했다.비용은 '탄소 배출 걱정'보다 현실적인 이유였다. 국제에너지기구(IEA)에 따르면, 바운더리댐의 탄소포집 단가는 톤당 110달러(14만 원). IEA는 2025년 태양광 발전 단가가 95달러(12만 원), 해상풍력은 88달러(11만 원)로 각각 떨어질 것이라고 예측하고 있다. 탄소 배출량도 훨씬 많은데, 값도 더 비싼 CCS를 채택할 이유가 없다. 게다가 바운더리댐은 비싼 비용을 상쇄하기 위해 포집한 탄소를 석유 회사에 판매하고 있다. 석유 회사는 이 탄소를 활용해 유전 밑바닥에 남은 석유를 추가 채굴하는 '원유회수증진(EOR)'을 한다. 미국 카네기멜론대 연구에 따르면, EOR로 탄소 1톤을 주입할 때마다 탄소 3.4~4.7톤이 새로 배출된다.▲ 미국 카네기멜론대 연구 보고서탄소 배출량을 줄이겠다며 비용을 들여 탄소를 포집해놓고, 비용을 줄이기 위해 탄소를 더 배출하는 것이다. 이렇게 해도 재생에너지보다 가격도 비싸고 탄소도 많이 배출한다.조엘 체리 사스크파워 대변인은 ""액화천연가스(LNG) 발전에 CCS를 활용하는 계획까지 포기한 것은 아니지만 구체적으로 검토하고 있는 것은 없다""며 ""풍력과 태양광 등 재생에너지를 늘리고 소형모듈원전(SMR) 도입을 추진하고 있다""고 한국일보에 말했다.",조원동,전혀 사실 아님
2,경제,탄소포집 기술은 2030년 이전에 상용화돼 탄소중립에 기여할 수 있다,"2023년 4월 확정된 정부의 탄소중립녹색성장 기본계획은 2030년까지 CCUS를 활용해 연간 1,120만 톤의 온실가스를 감축한다는 계획을 제시했다. 이는 2030년 이전에 이 기술이 상용화돼 상당한 역할을 할 수 있다는 것을 가정한다.또한 2050년까지 CCUS는 물론 DAC를 활용해 상당한 양의 온실가스를 포집해 제거한다는 계획을 세운 2050 탄소중립 시나리오 역시 관련 기술이 빠른 시일 내 실현될 것을 전제한다.과연 정부가 예상한 시점까지 CCUS와 DAC 기술이 상용화될 수 있을까.‘탄소포집 기술은 2030년 이전에 상용화돼 탄소중립에 기여할 수 있다’는 정부의 주장탄소포집 기술 중 일부는 국내에서도 실증 실험 진행되고 있음그러나 모든 기술이 상용화되는 것은 2030년 이후로 예상탄소 저장은 노르웨이 등에서 이미 시행 중인 기술하지만 전 세계 CCS 저장소 중 0.7%만 저장 가능성 확인됨탄소 포집 활용 기술은 2040년쯤 무르익을 것으로 추정공기 중 직접탄소포집 기술은 현재 실증 사례가 있지만 막대한 비용과 에너지 문제로 상용화와는 아직 거리가 멂따라서 해당 주장은 ‘대체로 사실 아님’으로 판정'탄소포집 기술은 2030년 이전에 상용화돼 탄소중립에 기여할 수 있다'는 주장  [검증 내용] 1. 탄소 포집 기술은 2030년까지 상용화될 수 있다: 대체로 사실한국환경연구원의 연구에 따르면 아민 등 화학물질을 사용해 이산화탄소를 분리하는 '습식포집' 기술은 이미 상용화 단계다.▲ '탄소중립 혁신기술 비용DB 구축체계 및 도입전략'. 한국환경연구원한국전력 전력연구원과 한국중부발전이 보령화력에 설치한 10㎿급 탄소포집 실증 플랜트도 이 기술을 사용한다. 이 플랜트는 2013년 시험운전을 시작해 2021년부터 상용운전을 시작했다(한국전력 전력연구원 보도자료).분리막을 이용해 배기가스에서 이산화탄소만을 투과시키는 '분리막포집' 기술도 있다. 일부 국가는 상용화 수준에 도달했지만 국내에서는 아직 기술 개발이 진행 중이다. 배기가스 내 이산화탄소를 고체 입자를 통해 선택적으로 포집하는 '건식포집' 기술은 에너지 저감 잠재량이 높지만 아직 상용화되지 않았다. 정부가 2021년 발표한 ‘이산화탄소 포집·활용 기술혁신 로드맵’에 따르면, 발전 및 산업 분야의 연소 배기가스 포집기술의 상용화 예상 시점은 2030~2040년 이후다.▲ 이산화탄소 포집·활용(CCU) 기술혁신 로드맵. 과학기술정보통신부문제는 우리나라의 탄소포집 관련 기술수준이 미국 유럽 등 선도국에 비해 4~6년 뒤지고, 일본 중국과도 1~2년 격차가 난다는 점이다. 2021년 한국에너지기술연구원(에기연)이 전문가 26명에게 분석을 의뢰했더니, 우리나라의 탄소포집 기술 수준은 선도국의 83.9%로 4.5년 뒤처져 있다. 탄소활용 기술은 선도국의 78.0%, 저장 기술은 6.5년 뒤진 75.0% 수준이다. ▲ CCUS 심층 투자 분석 보고서. 한국에너지기술연구원2.    탄소 저장은 2030년까지 상용화 될 수 있다: 대체로 사실탄소를 안전하게 저장할 수 있는 조건을 충족하는 대표적 구조가 염류대수층이다. 염수로 가득 찬 다공성 암석층이다. 또 다른 방법은 원유·가스를 채굴하고 비어 있는 유전이나 가스전에 주입하는 것이다. 현재 호주 오트웨이 시험센터 등에서도 지하에 탄소를 저장하는 실험을 하는 등 실증이 진행되고 있다. 노르웨이에서도 1996년부터 북해 슬라이프너 가스전에 탄소를 저장하고 있다.그러나 2030년까지 충분한 저장소를 확보할지는 미지수다. 지난해 3월 석유·가스 기후 이니셔티브(OGCI)의 발표에 따르면, 전 세계 852곳에 약 1만4,000기가톤(1기가톤=10억 톤)의 이산화탄소를 묻을 수 있는 저장소가 있다고 평가된다. 그러나 이 가운데 95%는 탐사조차 이뤄지지 않았고, 0.7%(96.6기가톤) 정도만 확인돼 프로젝트가 진행 중이다.▲ CO₂ Storage Resource Catalogue. 석유·가스 기후 이니셔티브(OGCI)",언론사 자체 문제제기,대체로 사실 아님
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
