row_data,불용어
0,▶
1,ⓒ
2,△
3,한국
4,정부
5,검증
6,사실
7,주장
8,지난
9,때문
10,라며
11,대해
12,이후
13,위해
14,해당
15,가운데
16,다만
17,대체로
18,팩트
19,이번
20,따라서
21,면서
22,반면
23,또한
24,오히려
25,대부분
26,만큼
27,전혀
28,가지
29,크게
30,이하
31,개월
32,거나
33,달리
34,여러
35,먼저
36,우선
37,대한민국
38,얼마나
39,여기
40,앞서
41,이기
42,로부터
43,텐트
44,마찬가지
45,라면
46,사진
47,그대로
48,달라
49,하나로
50,그동안
51,안팎
52,로서
53,이처럼
54,대로
55,만약
56,일단
57,김제역
58,더욱
59,이제
60,그간
61,이상인
62,대유
63,재청
64,매가
65,거짓
66,보지
67,아예
68,어디
69,로시
70,무조건
71,원래
72,민주
73,직후
74,미리
75,심지어
76,망치
77,아무
78,이로
79,마치
80,이나
81,반드시
82,불과
83,부터
84,워낙
85,대강
86,이외
87,다가
88,갑자기
89,그것
90,일이
91,무려
92,이어진
93,하라
94,게다가
95,조가
96,꼽았다
97,줄곧
98,이상은
99,것임
100,간다
101,누가
102,이건
103,아야
104,구한
105,처럼
106,저희
107,무슨
108,넷제
109,토리
110,그때
111,거짓말
112,널리
113,벌써
114,베르디
115,어바니
116,커서
117,정헌
118,퍼준다
119,그로
120,나타남
121,어찌
122,팔고
123,관해
124,나와라
125,리지
126,자칫
127,이보
128,달이
129,끼리
130,안이
131,산다
132,한번
133,꼬박꼬박
134,만난
135,지나
136,더구나
137,령액
138,거꾸로
139,웨이
140,마음대로
141,곧바로
142,낸셜
143,야권
144,되레
145,보사
146,더군다나
147,라서
148,고스
149,타개
150,찮다
151,이르렀다
152,재인
153,자단
154,혹시
155,계정은
156,폐쇄하
157,최고다
158,누군가
159,류필
160,살짝
161,러블
162,곳도
163,인승
164,법해
165,점점
166,견줘
167,부득이
168,그냥
169,리카
170,기요
171,그다음
172,종종
173,돌이
174,주춤
175,막상
176,정반대
177,더피
178,루이스
179,일부러
180,노미
181,트러스
182,하니
183,낫다
184,추켜
185,것이므
186,하필
187,취할
188,뭔가
189,루치
190,샤르마
191,스칸
192,웨스트
193,비거
194,갈수록
195,바우어
196,그게
197,번다
198,노먼
199,불면
200,무렵
201,저리
202,고사하고
203,실었다
204,도대체
205,난의
206,팽팽합니
207,유감스럽게
208,잡고
209,나가야
210,려면
211,론자
212,비치
213,그었다
214,남지
215,데리
216,창해
217,차보
218,흑석
219,꼽는다
220,유니
221,더스
222,세븐
223,우리나라
224,대한
225,국내
226,%
227,M&A
228,㎡
229,㎞
230,~
231,㏊
232,CO₂
233,㎢
234,ℓ
235,㈜
236,CCS
237,LH
238,나라
239,페이스북
240,총리
241,한국인
242,농식품부
243,야당
244,화천
245,지원이
246,조사해
247,배상하
248,인벤
249,최소한
250,데이타
251,남성은
252,총리와
253,웨어
254,소셜네트워크서비스
255,트위터
256,취합해
257,빚내
258,상쇄하
259,유튜버들
260,흑석동
261,통해
262,민주당
263,기본
264,중이
265,바로
266,한편
267,조금
268,제대로
269,거의
270,대신
271,보이
272,자영
273,주로
274,정말
275,서도
276,언제
277,그거
278,스스로
279,진짜
280,상대로
281,다소
282,이분
283,자꾸
284,물이
285,프레
286,보시
287,하이
288,가기
289,보이지
290,가짜
291,게티
292,어쨌든
293,돈스코이
294,나름
295,차라리
296,야스퍼스
297,어차피
298,오스
299,학년
300,바이
301,로만
302,택법
303,다기
304,카눈
305,다라
306,중견련
307,에프
308,프놈펜
309,콘퍼런스
310,난이
311,시오
312,가파르
313,마주
314,줄줄이
315,라이
316,비아
317,리움
318,만일
319,만하
320,여태
321,멀리
322,당한
323,만날
324,밀턴
325,에스테
326,직스
327,더욱더
328,캐롯
329,스팅
330,거란
331,바유
332,다운로드
333,건데
334,어쩌면
335,페르
336,물어
337,에디
338,미가
339,듭니
340,필요시
341,라나
342,저런
343,일어나지
344,가뜩이나
345,익스
346,다다
347,프라
348,부와
349,팔면
350,올린다
351,듯이
352,다대
353,래야
354,아스
355,지은
356,민지원
357,런가
358,나기
359,하버드대
360,안녕하십니까
361,워런
362,다지
363,바다로
364,수상한
365,도저히
366,끝내
367,대충
368,구해
369,주요한
370,일일이
371,리쇼
372,택할
373,중요시
374,마침내
375,리가
376,스쿠프
377,아이오
378,더라도
379,너희
380,희망이
381,비어
382,스르
383,노노
384,도쿄도
385,선뜻
386,도구로
387,안고
388,로써
389,특화된
390,연다
391,때로는
392,통틀어
393,재는
394,무언가
395,언스
396,이쯤
397,달도
398,라라
399,코로
400,원화로
401,앞서서
402,우린
403,그다지
404,브로
405,티스
406,일어난다
407,일쑤
408,가치나
409,디벨로퍼
410,여실히
411,애드바이미
412,겹치
413,번번이
414,잘해야
415,편취했다
416,졸라
417,버티고
418,지금껏
419,놨다
420,아시
421,박아
422,택했다
423,리자
424,디아
425,로움
426,하나요
427,제발
428,일어나서
429,자칫하면
430,다시금
431,농게
432,스카
433,거가
434,오르다
435,꼽는
436,얼마만큼
437,잔뜩
438,순서대로
439,이해해
440,르드
441,르그
442,어마
443,꼽았
444,가까스로
445,번갈아
446,스픽입니
447,이르렀
448,널렸다
449,기껏
450,제법
451,글쎄요
452,차려
453,스티
454,직격했다
455,개월여
456,가다가
457,온라인과
458,아랑곳
459,툭하면
460,더니
461,이따
462,김지
463,쩌렁쩌렁
464,뜨렸다
465,로남불
466,이제야
467,로나
468,나하
469,어요
470,뚜기
471,꼽습니
472,택했
473,걸핏하면
474,꼽는데
475,부디
476,뿐더러
477,노닐다
