row_id,주제,내용,상세내용,주장/검증매체
0,경제,"중부4군, 택시운임·요금 적용기준 동일 확정…공유도시 재확인","['운임', '중부', '의회', '했다', '지역', '택시', '요금', '공유', '군수', '적용', '음성', '동일', '체계', '사업', '공동', '증평', '진천', '충북', '기준', '할증', '있다', '인접', '도시', '추진', '운영', '하는', '증평군', '음성군']",뉴시스
1,경제,"서울시 장애인 버스요금 지원사업, 장애특성별 고려 필요","['장애인', '저상버스', '버스', '이용', '하는', '이동', '휠체어', '장애', '지원', '사업', '경우', '있다', '서울시', '요금', '지난', '중증', '시내버스', '도입', '정책']",오마이뉴스
2,경제,카카오 택시에 2천원 '팁' 준다? 팁 결제창 두고 시끌,"['카카오', '택시', '기사', '모빌리티', '서비스', '했다', '도입', '이용', '감사', '블루', '수수료', '기능', '가맹']",YTN
3,경제,"""7만원짜리 잼버리 텐트, 25만원에 납품?"" 의혹은 '거짓' [오마이팩트]","['텐트', '잼버리', '납품', '가격', '했다', '직위', '후원', '매트', '인용', '정도', '실제', '예산', '제품', '의혹', '이상', '현금', '누리꾼', '새만금', '세계', '스카우트', '대표', '제공', '버팔로', '하면', '일부', '둔갑', '짜리', '하는', '인터넷', '판매', '참가자', '제작', '현물', '포함', '업체', '각국', '부풀려졌다는', '같은', '회사', '비교', '원대', '원금', '감안', '위해', '모집', '예상', '책정', '사업', '일반', '보다']",오마이뉴스
4,경제,"잼버리 '바가지' 논란 GS25, 가격 인하·무료 생수 공급","['잼버리', '현장', '했다', '매장', '가격', '냉동', '생수', '설치', '상품', '판매', '시중', '텐트', '지원']",노컷뉴스
5,경제,"박차훈 새마을금고중앙회장 구속영장 재차 기각…법원 ""소명 부족""(종합)","['혐의', '기각', '구속', '출자', '과정', '수수한', '새마을금고', '중앙회', '영장', '했다', '증거', '금품', '동부', '회장', '진행', '진술', '확보', '압수수색']",뉴스1
6,경제,보릿고개 지속되는 자본시장…‘펀딩의 난’,"['출자', '운용', '기관', '정기', '않은', '투자', '새마을금고', '규모', '결성', '상황', '중앙회', '있다', '펀드', '자금', '개사', '지연', '하반기', '지속', '대체', '문제', '고민', '사업', '평가', '앵커', '확보', '많지', '상태', '한미', '했던', '올해', '했다', '공제']",이데일리
7,경제,‘금품수수 의혹’ 새마을금고 회장 구속영장 또 기각,"['혐의', '회장', '했습니다', '기각', '새마을금고', '구속영장', '지난', '청구']",KBS
8,경제,소떼 뛰노는 초원…땅밑 2㎞엔 이산화탄소 10만t 저장시설이,"['호주', '센터', '가스전', '했다', '저장', '기술', '있다', '하는', '운영', '실증', '고갈', '염수', '한다', '바라', '로그', '웨이', '현장', '연구원']",중앙일보
9,경제,"한은 총재 ""구조개혁 미루다 경제순위 하락하면 더 큰 문제""","['총재', '환율', '순위', '했습니다', '우리나라', '한국은행', '있다', '문제']",SBS Biz
10,경제,"""한국은행 감독권 넓히고 임금결정권 확보"" 법 개정 요구에도 변화는 '미지수'","['한국은행', '개정', '있다', '은법', '정책', '총재', '개정안', '은행', '국회', '통과', '논의', '했다', '의원', '촉구', '하는', '노조', '인건비', '한병도', '금융', '재위', '서울', '통화정책', '직원', '금융통화위원회', '결정', '기획', '재정', '대표', '발의', '위해', '의견', '개선', '감독', '때문', '지난달', '탄력', '지적', '유동성', '공급', '통화', '금통위', '제도', '관련', '법안', '대해']",파이낸셜뉴스
11,경제,"이창용 한은 총재 “기준금리 3.75% 인상 열어둬야…가계부채, 금리로 대응할수도”","['했다', '금리', '총재', '가계부채', '문제', '환율', '물가', '개혁', '대응', '예상', '가능성', '순위', '기적', '대비', '한국은행', '통화정책', '대출', '다시', '그러면서', '대해', '우리나라', '인상', '상황', '중장', '비율', '인하', '목표', '명목', '회의', '있다', '증가', '우려', '지난해', '둔화', '되고', '변동', '구조', '사태', '충분히', '이창용', '금융통화위원회', '방향', '기자간담회', '가계', '있다는', '위로', '저출산', '고령화', '기준금리', '금통위', '면서', '생각', '열어', '한다', '설명', '변화', '조정', '하는', '수준', '강조']",농민신문
12,경제,[세컷칼럼]유능한 보수정권의 실업급여 해법,"['실업', '급여', '비정규직', '모럴', '해저드', '한다', '일자리', '근로자', '실직자', '있다', '문제', '정규직', '고용', '임금', '최저임금', '정부', '수급', '전체', '기금', '소득', '여가', '기준', '여당']",중앙일보
13,경제,"""가족 같은 회사라더니""... 급여 낮은 직원 구했으니 넌 해고! [그래도 출근]","['미만', '사업', '해고', '직장', '괴롭힘', '근로기준법', '적용', '직원', '하는', '이유', '했다', '구제', '정부', '규정', '대표', '같은', '회사', '노동계', '요구', '개선', '갑질', '근로자', '있다', '받지', '근로', '때문', '일부', '여당', '착수', '있는', '노동자', '가족', '사장', '한다', '휴일', '현실', '따라', '된다', '차별', '확대', '제도', '관련', '이었다', '해당', '했지만', '제한']",한국일보
14,경제,고용보험 '외국인'만 급증…실업급여 또 10만명대,"['고용', '보험', '가입자', '증가', '외국인', '근로자', '했다', '구직', '감소', '급여', '하는', '사업', '가입', '영향', '부문', '고용부', '노동시장', '동향', '있다', '개월', '확대', '활동', '적용', '의무', '지난달', '늘었다']",파이낸셜뉴스
15,경제,"[대청봉] 영월, 한국 텅스텐 생산 세계 2위 도약 선봉","['텅스텐', '세계', '광산', '있다', '생산', '중국', '상동', '안전', '하는', '자원', '했다', '러시아', '영월', '원자재', '한국', '통신', '인프라', '광물', '가격', '규모', '경제']",강원일보
16,경제,“천금성은 한국 해양소설의 무대를 세계로 확장했다”,"['해양', '바다', '논문', '소설', '했다', '금성', '이윤길', '한국', '하는', '세계', '대한', '최초', '같은', '소설가', '대자연', '인간', '제공', '작가', '연구', '됐다', '없는', '박사', '부산', '문제', '하면서', '바다로', '육지', '있었다', '이었다', '가장']",부산일보
17,경제,배터리 원료 해외 직접 생산 '첫발 뗀' 포스코퓨처엠…필리핀 택한 까닭,"['니켈', '필리핀', '포스코', '퓨처', '생산', '활용', '제련', '기술', '원료', '사업', '하는', '증가', '새로운', '생산량', '했다', '따라', '시장', '확대', '배터리', '핵심', '있다', '합작', '혼합물', '글로벌', '수출', '기록', '달러']",아이뉴스24
18,경제,"""IAEA 오염수 검증 보고서, 왜곡된 내용 나올 수 없는 구조""","['한국', '오염수', '수협', '원전', '부산시', '영향', '일본', '했다', '우럭', '중앙회', '토론회', '수산', '연구기관', '논란', '대응', '방안', '있다', '됐다', '원자력', '해양', '전문가', '개발', '공동', '회의실', '개최', '남긴', '방류', '관련', '과학기술원', '회장', '국내', '중국', '해역', '기술']",부산일보
19,경제,핵폐수·방사능 우럭…'후쿠시마 괴담'에 맞서는 과학의 힘 [Science in Biz],"['삼중수소', '괴담', '있다', '방사', '방류', '과학', '중성자', '발생', '방사성', '하는', '한다', '수소', '상태', '존재', '중수', '검사', '국제', '있는', '일반인', '경수소', '일반', '중수소', '동위원소', '자연', '인체', '되며', '농도', '영향', '원자로', '경수', '순수한', '원전', '사고', '의료']",매일경제
20,경제,"'복권' 김정수 삼양식품 부회장, 글로벌 경영 가속…'회장' 타이틀 달까","['부회장', '삼양식품', '회장', '했다', '대표', '경영', '영업', '취업', '매출', '이익', '제한', '그룹', '복권', '올해', '있다', '김정수', '사진', '제공', '특별사면', '나온다', '횡령', '특별', '회사', '광복절', '관련', '됐다', '지난', '대비', '지난해']",뉴시스
21,경제,복권위원회·동행복권 관계자 사칭 피싱 사례 증가…소비자 주의 당부,"['행복', '복권', '피싱', '사칭', '개인정보', '요구', '있다', '당첨', '사례', '클린', '센터', '예상', '사이트', '환급', '기획재정부', '위원회', '했다']",부산일보
22,경제,복권은 불황형 상품?…경제위기 속 올해 복권 판매 7조 전망,"['복권', '증가', '판매량', '판매', '했다', '인식', '소득', '매출', '출시', '결과', '지난해', '경제', '하는', '있다', '사업', '로또', '불황', '뉴시스', '상황', '나타났다', '따르면', '대비', '이상', '계층', '조사', '가장']",뉴시스
23,경제,공매도 다음 타깃은 포스코홀딩스?…뿔난 소액주주들,"['공매도', '포스코', '에코', '홀딩스', '주가', '했다', '프로', '개인', '이차전지', '하는', '시장', '그룹', '프로비', '불법', '잔고', '조성자', '집중', '종목', '대한', '세력', '모건스탠리', '조사', '대해', '매수', '기간', '평가', '있다', '지난달', '연구원', '기업', '투자자', '된다', '투연', '이동', '하락', '의혹', '수량', '최근', '한국', '거래소', '타깃', '들어', '변동성', '촉구', '가량', '동안', '차전지', '상승', '쇼트', '청산', '현상', '오후', '시간', '거래', '유동성', '해야']",이코노미스트
24,경제,"광주시, 부동산 특별사법경찰 운영…""투명한 거래시장 조성""","['거래', '부동산', '중개업', '단속', '대한', '불법', '공인', '사법', '광주', '시장', '위해', '수사', '하는', '행위']",뉴스1
25,경제,제2의 강남 … 과천 3기 신도시 인근 주암동 토지매각,"['과천', '토지', '주변', '신도시', '매각', '입지', '개발', '강남', '주암동', '지하철', '지구', '일대', '단지', '건축', '위치', '있다', '지역', '가치', '예상', '서초구', '바로', '있어', '더욱', '주거', '기업', '대규모', '있는', '임야', '필지', '시세', '형성', '하는', '된다', '인근', '서초', '현장']",매일경제
26,경제,대구 군위군 면적 70% 내년 1월 토지거래허가구역서 해제된다,"['군위군', '대구시', '허가', '구역', '군수', '토지', '거래', '했다', '지정', '재산권', '침해', '군위', '협의']",연합뉴스
27,경제,"[차담차담] 조랑말 신화의 뿌리-④이게 경고야, 감탄이야?","['했다', '생산', '자동차', '시발', '공장', '차량', '윌리스', '제작', '미군', '엔진', '부품', '버스', '이었다', '형제', '국산', '디자인', '모델', '나라', '지프니', '우리', '만든', '대통령', '전쟁', '차체', '위해', '없었다', '한다', '시발자동차', '사진', '대를', '부평', '포드', '해방', '산업', '박람회', '시작', '였다', '운영', '정부', '재생', '트럭', '작업', '드럼통', '두드려', '일부', '일본', '김영삼', '성능', '내부', '모두', '조립', '복제', '인수', '초기', '있었다', '아래', '한국', '택시', '픽업', '일제', '지금', '인천', '새나라자동차', '지프']",TV조선
28,경제,[제4회 전자신문 캐드경진대회]디지털설계 우수 인력 '등용문'으로 우뚝,"['대회', '경진', '솔루션', '한국', '폴리텍', '대학', '했다', '심사', '설계', '캐드', '산업', '참가자', '있다', '양성', '전자신문', '인재', '국통', '신학회', '위원', '온라인', '하는', '참가', '실력', '캠퍼스', '지난', '열린', '기계', '고등학교', '학생', '대상', '수상자', '기술', '되어']",전자신문
29,경제,허훈 서울시의원 “낯 뜨거운 불법 전단 뿌리 뽑는다”,"['불법', '전단', '서울시', '하는', '조례', '접수', '단속', '옥외광고', '적극', '의원', '있는', '민원', '개정', '정비', '살포', '근절', '신고', '증가', '자치구']",서울신문
30,경제,"구미시, '반도체 산업의 뿌리' 고졸 인재 양성 서둘러야","['반도체', '인재', '구미', '산업', '기업', '향후', '경북', '교육', '자공고', '마이스터고', '설립', '수요', '있다', '단지', '지정', '분야', '추진', '양성', '고등학교', '따르면', '인력', '예상', '된다', '소재', '했다']",매일신문
31,경제,野 노란봉투법·방송3법 강행 조짐…與 '필리버스터' 예고,"['국민', '방송', '본회의', '무제한', '토론', '있다', '노란', '봉투', '하는', '법안', '위원회']",데일리안
32,경제,"산재, 단체교섭거부, 손해배상청구... '핫한' 노동이슈 법리대결","['대회', '노동자', '제철', '본선', '노란', '봉투', '모의법정', '경연', '시민', '했다', '구성', '모두', '노동조합', '위원장', '심사', '예비', '법조인', '노동법', '사내', '하도급', '사업', '하청', '단체교섭', '한국', '두고', '피고', '쟁의', '행위', '손해', '참가', '참가자', '예선', '교수', '책임', '대한', '평가', '시상', '상금', '전태일', '기념관', '참관', '개최']",오마이뉴스
33,경제,"MZ노조 협의체, 노란봉투법에 찬성...반대 소수의견도 담아 눈길","['협의', '의견', '노란', '봉투', '손해배상', '노동자', '하는', '책임', '사용자', '노조', '새로고침', '입장', '찬성', '소송', '제한', '대해', '내용', '행위', '노동', '대한', '반대', '조합원', '손해', '직접']",매일경제
34,경제,주가조작 대응 더 세진다…김소영 “3분기 대책 발표”,"['원장', '주가조작', '했다', '부당이득', '산정', '과징금', '부위', '불공정', '거래', '제재', '대응', '기자간담회', '김소영', '금융', '서울', '개정안', '경우', '하는']",이데일리
35,경제,[다산칼럼] 자본시장의 '죄와 벌',"['행위', '불공정', '자본시장', '부당이득', '선진국', '처벌', '대한', '하는', '위반', '산정', '거래', '환수', '된다', '있다', '과징금', '경우', '제재', '기준', '정도', '시장', '개정', '최대', '피해자', '보상', '부부', '자신', '이를', '하나님', '대해', '벌금', '했다', '우리나라']",한국경제
36,경제,"검찰, 주가조작 '몸통' 라덕연 대표 회사 실무진 3명 기소","['혐의', '관리', '고객', '위반', '했다', '매매', '범죄', '수익', '투자자', '가담', '모씨', '자본시장', '은닉', '제법', '증권', '주가', '덕연', '업체', '대표', '주가조작', '구속']",뉴스1
37,경제,주가조작 혐의 라덕연 “제보자가 협박해 20억 빼앗겨”,"['주가조작', '대표', '제보자', '했다', '증권', '김익', '김영민', '회장', '소장', '가담', '언시', '시세', '조종', '키움', '도시가스', '제보', '사태', '있다', '민사소송', '감형', '시행', '혐의', '서울', '상대로', '제기', '협박', '금융', '제도']",아시아경제
