row_id,주제,내용,상세내용,주장/검증 매체,label
0,경제,한국에서는 팁 문화가 불법이다,"['택시', '있다', '한국', '요금', '문화', '불법', '법률', '봉사', '서비스', '지불', '업계', '운송', '사업', '발전', '규제', '카카오', '도입', '온라인', '커뮤니티', '게시', '부당한', '부과', '하는', '경우', '실제', '확인', '판결', '변호사']",온라인 커뮤니티 게시물,대체로 사실 아님
1,경제,7만 원짜리 잼버리 텐트를 25만 원에 납품했다,"['텐트', '잼버리', '가격', '했다', '인용', '납품', '직위', '이상', '제공', '의혹', '일부', '세계', '스카우트', '각국', '대표', '같은', '회사', '만든', '버팔로', '매트', '새만금', '조직', '위원회', '유튜버', '누리꾼', '짜리', '둔갑', '인터넷', '제작', '예산', '부풀려졌다는', '비리', '지난', '비교', '원대', '이를', '실제', '참가자', '위해', '후원']",인터넷 커뮤니티,전혀 사실 아님
2,경제,"직원 1.6만명인데 임원 1.4만명, 새마을금고 조직구조 희한하다","['새마을금고', '임원', '금고', '지역', '조직', '구조', '직원', '중앙회', '신문', '하는', '금융', '비교', '기사', '한국', '경제', '사태', '왜곡', '비율', '한다', '부실', '했다', '독립', '법인', '개별', '있다', '절반', '보도', '모두', '수행']",언론보도,전혀 사실 아님
3,경제,탄소포집 기술은 2030년 이전에 상용화돼 탄소중립에 기여할 수 있다,"['기술', '탄소', '상용', '포집', '있다', '저장', '활용', '연구원', '이산화탄소', '중립', '한국', '하는', '정부', '실증', '진행', '에너지', '수준', '계획', '이전', '예상', '대체로', '따르면', '분리', '혁신', '배기가스', '선도', '있는', '가스', '기가톤']",언론사 자체 문제제기,대체로 사실 아님
4,경제,국내에서 포집한 이산화탄소를 해외 저장소에 저장할 수 있다,"['탄소', '저장', '국내', '장소', '해외', '포집', '중립', '계획', '위해', '이산화탄소', '있다', '보내', '확보', '했다', '정부', '비용', '대체로', '보령', '생산', '배출', '녹색', '성장', '해야', '발표', '실제', '하는', '있는', '용량', '상당한', '아님', '안은', '연간', '산업', '통상', '자원부', '따르면', '유망', '추가', '한다', '시작', '가스전', '호주', '블루', '수소', '다윈', '거리']",2050탄소중립녹색성장위원회,대체로 사실 아님
5,경제,저출산이 GDP 순위 하락 요인이다,"['총재', '순위', '한국은행', '저출산', '지난해', '고령화', '하락', '환율', '한국', '분석', '원인', '경쟁력', '문제', '이창용', '지난', '금융통화위원회', '기자간담회', '위로', '둔화', '중장', '기적', '설명', '했다', '시장', '적용', '경제', '통화정책', '방향', '회의', '마친', '국내총생산', '추락', '무엇', '질문', '아니라', '라며', '개혁', '미뤘기', '때문', '산업', '연구원', '명목']",이창용,사실
6,경제,한국이 선진국에 비해 실업급여 퍼준다,"['급여', '실업', '한국', '정부', '선진국', '여당', '비해', '개월']",국민의힘,대체로 사실 아님
7,경제,지구 평균기온 오르면 세계경제 성장률 내려간다,"['생산', '세계', '한국', '베트남', '극한', '기후', '있다', '차질', '지구', '평균기온', '경제', '엘니뇨', '폭염', '전국', '상승', '오르면', '성장', '가뭄', '전력', '가격', '강수량', '극심한', '지역', '지난달', '광물']",언론사 자체 문제 제기,대체로 사실
8,경제,"청약 아파트 입주, 분양가만 내면 된다","['분양', '선택', '단지', '청약', '모집', '있다', '공고', '품목', '부동산', '추가', '발코니', '확장', '경우', '한다', '최고', '기준', '시장', '비용', '하는', '진행', '공급', '했다', '대비', '책정', '당첨', '가격', '옵션', '가를', '한국', '타입', '포함', '모든', '서울대', '타운', '푸르지오', '가구', '따르면', '운정']",한국부동산원,판단 유보
9,경제,한국에서는 팁 문화가 불법이다,"['우럭', '세슘', '일본', '후쿠시마', '처리', '한국', '물질', '정부', '방사성', '농도', '하는', '잡힌', '수산업', '방사', '물고기', '발전소', '알프스', '지난', '않았다', '내항', '원전', '오염수', '대한', '있다', '상황', '교도통신', '보도', '근처', '일반', '어로', '활동', '바다', '김교흥', '의원', '교수', '인터뷰']",온라인 커뮤니티 게시물,대체로 사실 아님
10,경제,국회를 통과한 주가조작 처벌법은 실효성이 부족하다,"['자본시장', '내용', '처벌', '통과', '주가조작', '과징금', '개정안', '하는', '부당이득', '산정', '방식', '우려', '법안', '있습니다', '확인', '제재', '부과', '불공정', '거래']",언론사 자체 문제제기,판단 유보
11,경제,불황에 복권 판매 증가한다,"['복권', '판매', '증가', '불황', '기록', '경제성장률', '대비', '했다', '매출', '경기', '백서', '있다', '시기', '한다', '하는', '우리나라', '추이', '상관관계', '상품', '위원회', '연구', '확인', '감소', '있는', '하며', '사상']",다수 언론보도,전혀 사실 아님
12,경제,주가 폭락 사태는 공매도 세력 탓이다,"['공매도', '종목', '사태', '지난', '세력', '지수', '선광', '대표', '주가', '폭락', '이득', '촉발', '배후', '편입', '허용', '덕연', '투자자', '문사', '거뒀다', '하나로', '지목', '증권', '코스피', '해당', '코스닥', '다우', '데이타', '하림', '한가', '거래', '대금', '비중']",라덕연,대체로 사실 아님
13,경제,토지거래허가제는 재산권 침해다,"['토지', '거래', '허가', '토지거래허가제', '재산권', '침해', '구역', '헌법재판소', '하는', '서울시', '연장', '대해', '합헌', '있다', '주민', '판단', '했다', '본질', '하지', '지역', '지난', '소유자', '댓글', '사유재산', '제도', '국토이용관리법', '전문가', '지정', '봤다', '매매', '하기', '때문', '위해', '투기', '결정']",언론보도 내 댓글,전혀 사실 아님
14,경제,외국인 노동자 없이는 뿌리산업을 지탱하기 어렵다,"['산업', '뿌리', '외국인', '인력', '확인', '진흥', '기업', '인터뷰', '보고서', '노동자', '정책', '사업', '종사', '정부', '국가', '센터', '제조업', '입니다', '있습니다', '지탱', '노동', '현장', '조사', '연구원', '고용']",언론사 자체 문제 제기,대체로 사실
15,경제,국회 표결을 앞둔 <노란봉투법>에는 문재인 정부도 반대했던 내용이 포함되어 있다,"['노란', '봉투', '내용', '손해배상', '차관', '제한', '국회', '법안', '논의', '병원', '표결', '앞둔', '하는', '박화진', '고용노동부', '문재인', '정부', '문제', '청구', '발언', '노조', '당시', '했다', '원칙', '회의', '노동', '본회의', '통과', '현재', '일부', '우려', '해당', '법률', '대해', '의원', '발의', '포함', '위원회']",언론사 자체 문제제기,대체로 사실 아님
16,경제,지난 10년 한국의 연평균 근로손실일수는 주요국 대비 지나치게 높다,"['일수', '손실', '한국', '근로', '국가', '노동', '평균', '노사', '비교', '연구원', '대비', '지나치게', '경영', '단체', '통계', '있다', '전국', '경제', '연합', '주요', '높다는', '했다', '지표', '프랑스', '제공', '관계', '자료', '파업', '선진국', '분규', '근로자', '명당', '최근', '보다', '다만', '일본', '데이터', '수치', '별로', '따라서', '집계']",전국경제인연합회,판단 유보
17,경제,한국의 불공정거래 행위(주가조작 등)에 대한 제재 수준은 금융선진국과 비교했을 때 미흡하다,"['주가조작', '자본시장', '증권', '법원', '불공정', '거래', '위원회', '해도', '행위', '가지', '있는', '가운데', '않고', '절반', '기소', '가서', '선고', '제재', '부당이득', '범죄', '사건', '대법원', '받는', '경우', '대한', '해외', '수준', '따져', '조종', '양형', '금융', '개정안', '박용진']",언론사 자체 문제제기,대체로 사실
18,경제,미국의 부채상한제도 운용 내용 및 부채상한 확대 합의 사례여부 등의 초기입법과 한도상향 과정 및 부채 급증 원인에 대한 미국 대통령과 야당의 주장,"['미국', '달러', '대통령', '한도', '부채', '증가', '바이든', '트럼프', '국가부채', '있는', '코로나', '발언', '공화당']",조 바이든,대체로 사실 아님
19,경제,원전 오염수를 방류하기 시작하면 우리 국민의 먹거리 안전이 위험해진다.,"['오염수', '삼중수소', '입니다', '방류', '농도', '피폭량', '민주당', '후쿠시마', '방출', '원전', '우려', '수준', '했다', '일본', '탱크', '있는', '태평양', '한국', '원자력', '방사성', '국제', '대한', '했습니다', '하면', '수산물', '국민', '안전', '정부', '저장', '보관', '계획', '해양', '국내', '해역', '보고서', '인한', '방사선', '유입', '전체', '준치', '영향']",더불어민주당 후쿠시마오염수방출저지대응단 & 윤재갑,대체로 사실 아님
20,경제,가루쌀은 겉은 쌀인데 밀과 똑같다,"['가루', '식량', '가공', '산업', '농식품부', '제분', '비량', '인터뷰', '일반', '활성화', '정부', '분질', '수입', '대체', '했다', '비용', '공급', '발언', '활용', '전분', '양곡', '수급', '안정', '대책', '정황', '장관', '똑같다', '밀가루', '국내', '개발', '재배', '있다', '품종', '자급', '장점', '농림', '식품', '연간', '통계청', '농촌진흥청', '국립', '학원', '구조', '하는데']",정황근,대체로 사실 아님
21,경제,외국인 노동자가 내국인 일자리를 빼앗고 있다,"['위험', '미국', '하루', '사망', '연구', '했다', '이상', '걸음', '성인', '보건', '걷는', '결과', '보도', '걸으면', '연관', '보고서', '협회', '사람', '건강', '일주일', '정도', '중년', '크게', '사망률', '발표', '조사', '혈관', '지난', '뉴스', '일일', '패턴', '란셋', '공공', '매사추세츠', '애머스트', '아이', '하버드대', '대학원', '교수', '의학', '논문', '효과', '평균', '걸은', '질환', '낮아졌다', '경우', '됐다', '고령', '여성']",언론사 자체 문제 제기,대체로 사실 아님
22,경제,1기 신도시는 고령 인구 많은 노인 도시가 됐다,"['신도시', '인구', '했다', '지역', '비율', '노인', '도시', '고령', '지난', '노후', '사고', '온라인', '커뮤니티', '확인', '문제', '중부일보', '이상', '경기도', '전체', '평균', '통계', '부천시', '분석']",온라인 커뮤니티,판단 유보
23,경제,"아파트의 ‘무순위 청약’, 전국의 유주택자도 가능하다","['주택', '청약', '순위', '공급', '계약', '취소', '규칙', '경우', '하는', '가운데', '전국', '당첨', '개정', '지역', '거주', '해당', '발생', '주자', '성년', '부동산', '규제', '완화', '체결', '인한', '적용', '불법', '전매', '같은', '단지', '모집', '거주지', '요건', '개정안', '관련', '예비', '있다', '건설', '구성원']",언론보도,판단 유보
