row_id,주제,내용,상세내용,주장/검증매체
0,경제,"""일본도 간척지 잼버리""..같은 조건, 대처는 딴판 | 전주MBC 230808 방송","['대회', '일본', '새만금', '텐트', '부지', '시설', '대형', '대원']",전주MBC News
1,경제,"새만금잼버리 현장 점검..""텐트 치기 부적합"" | 전주MBC 230430 방송","['점검', '하기', '시범', '폭염', '입니다', '문제', '텐트', '대회', '실제', '현장', '캠프', '참가']",전주MBC News
2,경제,"""K-바가지 아닌가요?""‥ 폭리에 목 타는 잼버리 대원 (2023.08.03/뉴스데스크/전주MBC)","['대원', '입니다', '있습니다', '문제', '피해', '하는']",MBCNEWS
3,경제,새마을금고 위기론에 '노심초사'...진화에도 우려는 여전 / YTN,"['새마을금고', '문제', '지금', '가지', '금융감독원', '하는']",YTN
4,경제,새마을금고 찾아간 전 임원 흉기 난동...직원 2명 숨져 / YTN,"['사건', '직원', '새마을금고', '입니다', '경찰', '범행', '숨졌습니다']",YTN
5,경제,"재생에너지냐, 원자력발전이냐?! 뉴스에서도 다 설명 못하는 원자력발전의 실태를 정확히 알려드립니다 (MBC 이지선 기자)","['우리', '원전', '추진', '정치', '어떤', '계속']",파보세
6,경제,제7회 탄소중립 테크포럼,"['통해', '하는', '좋은', '관련', '국내', '투자', '개선']",한국에너지기술평가원 - KETEP
7,경제,핵발전으로 탄소중립?···비용 대비 효과↓,"['감축', '입니다', '발전', '했습니다', '효과', '비용', '안팎', '탄소']",CPBC 뉴스
8,경제,"[홍사훈의 경제쇼] 디레버리징, 한은총재는 비겁했다!!한국판 민스키 모멘트가 왔다!ㅣKBS 230713 방송","['거든요', '여기', '최저임금', '직원', '해서', '사회', '해결', '세금']",KBS 1라디오
9,경제,한국은행 이주열총재 9월 외환보유액증가 4030억달러 국민의소리TV 이지원기자신문방송인클럽,"['달러', '했습니다', '증가', '외환', '보유', '우리나라', '입니다', '발행', '표시', '외화']",국민의소리TV 국민의소리
10,경제,"실업급여 제도 싹 바뀝니다.! 근로자, 사업주 모두 관련되어 있습니다.!!","['고용', '실업', '제도', '이번', '정부', '있습니다']",시니어세상
11,경제,5월부터 완전히 바뀐다! 결국 이런사람 실업급여 안 준다.,"['실업', '급여', '신청', '인정', '퇴사', '개월', '활동', '구직', '직종']",돈되는 상식!
12,경제,"""여자분들 샤넬 사고.."" ""거적때기입고 신청?"" 당정 실업급여 축소 검토 후폭풍 - [핫이슈PLAY] MBC뉴스 2023년 7월 16일","['고용', '일자리', '했습니다', '사업', '지원', '직접', '정부', '노동부']",MBCNEWS
13,경제,"당정 ""실업급여 하한액 낮추거나 폐지 검토""…노동계 반발 / SBS","['실업', '급여', '있습니다', '수급', '한선', '최저임금']",SBS 뉴스
14,경제,'기준치 180배' 세슘 범벅..일본 우럭에 여야 반응은? [뉴스.zip/MBC뉴스],"['해양', '했습니다', '오염수', '방류', '농어', '입니다', '영향', '물질', '정부', '일본']",MBCNEWS
15,경제,"[신장식의 뉴스하이킥] 日 오염수 방류 '초읽기'.. '세슘 범벅 우럭' 잡혔다｜尹, 현충일 추념사 ""한미, 핵 기반 동맹 격상"" -헬마우스&김민하,전현희, 용혜인&장예찬, 박래군","['철강', '아이', '의료', '라디오', '하는', '입니다', '포유', '온라인']",MBC 라디오 시사
16,경제,"후쿠시마 우럭 '세슘 범벅' 확인 ""괴담 선동 말라""는 국민의힘 [뉴스.zip/MBC뉴스]","['오염수', '했습니다', '입니다', '하는', '있습니다', '민주당']",MBCNEWS
17,경제,"공매도 금지의 역사, 욕심과 실수 그리고 결제불이행 사태","['옛날', '누군가', '골드', '누가', '래야', '나라']",슈카월드
18,경제,비상사태 공매도금지 해제되면 코스닥 줄초상??,"['공매도', '개인', '방안', '우리', '봤을', '코스피', '하는']",피셔인베스트
19,경제,[EZ 이코노미] 게임스탑 사태 유발한 '숏스퀴즈'란 무엇일까? // 이투데이,"['주가', '투자자', '쇼트', '퀴즈', '공매도', '주식', '그렇죠']",이투데이TV
20,경제,토지거래허가구역 - 경기도 난리났다!,"['심리', '법인', '외국인', '지역', '구역', '하는', '매수', '문제', '우리나라']",라이트하우스
21,경제,집 살 때 자기소개서 써야하는 나라(feat.토지거래허가구역),"['기존', '주택', '허가', '하셔야', '그냥', '사지']",부읽남TV_내집마련부터건물주까지
22,경제,[뉴있저] '집값 들썩'에 오세훈 '토지거래허가제' 검토...주호영만 머쓱? / YTN,"['거래', '토지', '허가', '시장', '구역', '규제', '집값', '안정']",YTN
23,경제,2023 E7-4 비자 점수제 숙련기능인력 비자 E-7-4 VISA in 2023 Point Chart,"['신청', '여러분', '구독', '코리아', '같습니다', '득점', '점수', '설명', '이제', '유튜브']",장행닷컴 VISA in KOREA
24,경제,[이슈&뉴스] 흔들리는 뿌리 산업…장인 DNA 심어라,"['기업', '우리', '경쟁력', '뿌리', '기술', '일본', '대기업', '정부', '풀이', '기술자', '산업']",KBS News
25,경제,[한국어 출입국 강의] E-7-4 비자 점수제 숙련인력비자 뿌리기업 추천서 준비 상세 설명,"['단계', '프로그램', '됩니다', '때문', '이상', '점수', '통합', '시간']",장행닷컴 VISA in KOREA
26,경제,줄어든 외국인력 뿌리산업 직격탄…“장기 체류 확대해야” [9시뉴스] / KBS 2022.12.22.,"['인력', '코로나', '허가', '외국인', '체류', '입국', '고용']",KBS News
27,경제,"윤석열 대통령 ""5년간 바보 같은 짓 안했다면 원자력 경쟁자 없었을 것""…원전 협력업체 방문해 지난 정부 '탈원전 정책' 강하게 비판 (현장영상) / SBS","['원전', '지금', '방향', '아니라', '우리', '하고', '있습니다', '세계', '시장', '산업', '중요한']",SBS 뉴스
28,경제,북한용 원전 짓고 폐기물은 국내 처리? / KBS 2021.02.02.,"['산업부', '원전', '됐습니다', '검토', '문건', '방안', '안전', '정책']",KBS News
29,경제,대법원 '파업노동자 손해배상 제한' 판결/국회 계류 '노란봉투법' 취지와 유사…여야 반응 엇갈려/[이슈] 2023년 6월 15일(목)/KBS,"['조건', '따라서', '겁니다', '정부', '노동자', '사용자', '교섭', '결정', '하는']",KBS News
30,경제,노란봉투법이 뭔지 시원하게 알려드리겠습니다.,"['조금', '가압류', '저희', '대해', '이런', '노동조합', '합법', '생각', '파업', '어떨까', '하는', '있는']",임놈&권놈 노동법의정석TV
31,경제,"노란봉투법, 야당 주도로 환노위 통과…여당 ‘퇴장’ / KBS 2023.02.21.","['봉투', '파업', '노란', '야당', '손해배상', '통과', '국민', '사위', '소속', '위원', '국회', '했습니다', '표결', '여당', '노동자', '환노위']",KBS News
32,경제,"'노란봉투법' 野 주도 환노위 통과...與 ""거부권 건의"" / YTN","['출석', '의원', '법안', '대통령', '과반', '통과', '입니다', '본회의', '하는']",YTN
33,경제,"제2의 SG사태? 5개 종목 무더기 하한가…""주가조작 연루 의심""/특정 주식 커뮤니티 추천 종목 의혹 제기…배후는 누구?/[이슈] 2023년 6월 14일(수)/KBS","['투자', '사람', '부분', '우리', '주가', '조작', '거래', '기간']",KBS News
